Bills,Food,Entertainment,Transportation,Personal Spending,Savings,Healthcare,Income
15912.52,8359,3015.02,4130,4517.97,6230.77,3755,45920
61689.1,46559.68,23078,19305.47,13170.33,27670,41665.83,233139
53984,39935.75,11562.5,18317,20695,29174,34525.02,208193
46866.26,22891,18097.67,14950,20059,26101,61586,210551
57820,23772.06,20049,12753,15157.54,11615.35,89379.35,230547
10996,3581,2003.63,1574,2596.86,2676,6031,29457
77828.76,20766.81,12136.76,14428,14321.24,15089.03,53058.68,207629
44838,42915,12304,18636,21529,28942,49096,218261
29089.22,12897,5419.21,4982,4751.61,6789.92,25024,88953
20143,6706,5913,5913,4190.45,5294.14,14835.52,62995
65064,28608,15081.13,11385,11093.62,17972,32625.13,181829
6673.42,2131.08,1881,1441.88,1120,1656,4789,19692
42286.86,23058,16690.93,18409.91,11795,14415.22,60173.53,186830
68488,40718.94,13223.62,15687.03,15482,20771,39110,213481
44558.07,38918.2,19571.69,13638.21,15527,19923.58,60146,212283
63337.46,38870,16280.78,10645.17,17321,11266,49049,206769
11843,7881.54,3052,4044,4598.33,5748,9898.04,47065
77658,41977.97,19383.76,12734,18610.32,24473,38329,233165
41272.16,17474,8209,6224,6097,7152,22871,109299
58873,26616.03,12581.7,9417,12151.98,24490.94,29548,173678
6046.31,2320.54,1661,2005,1712.26,1564,6225.54,21534
64594,24219.89,16419,17984,17817.81,15691,79009.24,235735
10147,6984,4515,4022,2775.01,6789.18,15165,50397
24911,20048.79,7765.8,5757.71,5572.75,7186.96,30144.47,101387
4044,1509.63,757,811.88,795.43,1647,1451,11016
91425.99,34118,17687,13486.17,14393,30902,28848.47,230861
24015,10132.68,3821,5191,6558.16,4266.84,11605,65591
67484.88,39962,13253,21386.3,19750.8,32484.06,36564,230884
10302,3517,2794,2438,1719.64,4886,7590.31,33247
10444,5360,2471.7,2753.87,3291,2958,7022,34300
63529.24,42943.99,11396.58,10790.93,17643,17177.29,51656,215137
32713,17903,4781.65,8686,7086,10510,11118,92798
4627,3843.29,1049.93,966,1006,1622,6154,19268
32915.04,10691.41,6772,8341,6197,11495,20395.58,96807
4884.88,4146.25,1865,1235,2043.32,1647,6363.91,22185
52935,23596.94,12964.04,10464.33,16210.66,27486,61119.15,204776
78371,42538.27,16564.16,20750.76,17711.51,25909,26006.34,227851
69070,31001.22,12624.99,10437.52,16954.02,23851,16233,180171
47690.8,28368,11846,10976.07,10029,21555,19178,149643
94056.99,47910.87,17537,16981,23873,28977,17247.73,246584
12052,9010.71,2841.34,3071,2714,5650.49,12705.21,48044
16957.75,11421,4517.49,3400,5002.48,7779,12135.52,61214
75650.62,35008,16666.62,18169,17742,10842.04,28222,202300
36631,19701,6769.93,6506,10397.25,16509,28239,124752
20165.25,11495,3042,5120.4,3923.15,8294,6944.72,58984
12868.7,6193.44,2872.59,4714.69,3999.35,2926.54,17199,50774
3075,2063,987,985,1045,1317.61,3094.69,12568
29995.32,24722,11129,12608,10433.5,12669,28595,130151
66989,31798,18094.81,12270.56,17572,22805,34135,203664
48565,34274.95,18880,20315,13951,25557.39,47091.84,208635
30035,20352,9359,12659,9735,20832.86,40794.21,143767
41949,25047,9952.71,12750,11249.53,8560,24867.6,134375
53245.99,36963.25,14407.95,11536.63,13806,26864,32438.26,189262
49703,20416.05,14288.37,14391.94,10190,19816,17524,146330
84824,36647.65,20980,20396.82,15740,24050,25972.94,228610
12334,6944,4689.62,2476,4706.3,3237,15116.44,49504
35982.81,18428,12582.66,11112,14130,26003,55992,174231
4929,4412.98,2100.9,1474,2346,1554.72,7168.39,23986
26439,8219,5138,6840,6631.95,6473.99,12115.76,71858
44407.16,14388.28,11396,9503.55,9022,19218,31376.82,139312
8272.13,3435,1658,1185,1461.99,3243.53,3410,22666
11683.85,5856.61,2458,3497,4580.69,2686,17898,48660
54846,26294.67,9059.91,9195,8138,12105.27,24994.36,144633
10426,6463.56,1880.79,2338,2796,2833.51,10115,36854
26534.69,12729.1,4366,7347.76,5397.19,4910,13219.87,74505
23604.17,12043,6538,6945.95,9532,7525.6,48299.14,114488
58255,26818,18429,9821.41,17227,12071,50702,193323
10023,5032,2335,2137.46,2421,2020,8694,32662
5978,2421,1670,1381,984.79,1495.02,4462.12,18392
8267,5637,2414.73,2861.07,3921.75,3771.94,13661,40535
47103.2,26480,15173,21770,19604,27096.62,62447,219675
47320,12499,8959.47,12215,6815.58,12947,22812.09,123569
19990.19,9443,5416.77,5076,4823.61,7407.09,10099,62256
28908,10826.49,7700,8137,8445,8657.06,26461.1,99135
32282.08,15357,9961,11082.5,8338.63,19784,40672.86,137478
17512,6973.19,4386,2759.64,3902,5052.42,4637,45222
18948,15789.96,8131,7939,6609,8198.95,21757,87373
80243.56,23168,21088.57,11357.85,14959.55,11381,58448,220647
36688,17820.54,12599,9246.15,9983,10471.53,36875,133684
67785,28638.74,21365,15831.65,22142,33602,48062,237426
67691,34649,12915.73,20134,16019.44,22574.11,51739.06,225723
49467.69,26185,17507,10338,14398,29108,57403,204407
6063.92,3786,1056.6,2017,1513,2208.41,4320,20965
12339,5637.35,2372,2195.75,2127,2827,7039,34538
31754.59,17259,8350.31,5981.52,7650.34,11325,35745,118066
64849,37876,13724.15,16313,14237,19350.34,45315.05,211664
62690,27900,14868.16,15154,15967,29872,72639.64,239090
43227,14835,8181.17,9532,9708.62,6435,31333,123252
33246,26328,12523,13224.89,14556,19042.92,30261,149182
82932.17,38154.93,18702.36,19312,16144,30284,14851.51,220381
49974.31,17058.83,11865.63,13869.15,8547,13145,53877,168338
76915.61,28148.57,14684.51,19302,11950,27995,15068.95,194064
61358,23417.24,15121,21609.96,15448.72,29825.3,57240,224020
31033.02,16843.52,8275,7345.51,9126,13693.26,22489.65,108806
34293,18620,11878.6,10604.12,13128,20015.82,39443,147982
28683,19355,11261.13,11304.24,10431.34,15072,24881.16,120989
31291,15483.08,8264.17,8827,6185,10388.26,20543,100982
47955.25,19237.44,13052.73,11758.86,11673.01,16425,11524,131626
42112,24002.46,11521,9229.53,7757,13101,21452,129176
55586.21,25806.57,13443,13658.55,12724.54,16590,3469,141278
84369.16,32075,11563,12321.34,14967.31,11765,61065.42,228126
88767,32395,16054.56,15920,12242,26064,37525.88,228969
36319,21430.75,10812,9727,9554,13163,31402.71,132409
12456,3709.72,3217,2726,1762,3823.99,5724.19,33419
39965.07,30284.61,13926.73,18679.49,10166,22725,55961,191708
23448,11292.52,4755,5503,4928.96,3472.21,6616,60015
42702,16462.94,11167,10546,9917.61,19499.84,21800.89,132096
39594.31,18765.02,9475.88,11359,10394,7350.57,20120,117059
69908.65,27664.4,11409,14406,10306.36,28175.52,33470.22,195340
27892.49,14570.22,9839.5,7360,6158.18,16011,38856,120687
21086,19457.83,6225.82,5380,8958.06,11818.06,25013.66,97939
37390.96,29858.9,11477.24,15795.8,11111,19347,34232,159213
53109.33,23138,12470.34,17300,19543,31895,63973,221428
25887,20855,6508,9841,8205,11748,32833,115878
59753,41962.47,20577,18546.5,13624.63,13453,45065,212982
62155,30725.77,13514,17599,12347.33,28363,32411.89,197116
52182,31661.01,15850.08,16547.63,18242.48,23400,50402.61,208286
45262,21636,17039.56,17006,14079,24915,34961,174899
59576,33552,19051,13544,16815.78,19211,35141.98,196892
25760,8158,5905,4642.32,6728.46,10373.35,11055,72623
85333.18,26495,21416,18889.77,17944,15593,37135,222806
32938.5,11671.49,5631.37,7474.42,6114.43,5020.6,16599,85450
33040,17100.28,6166,6700.22,8375.52,11373,20671,103426
34439,18354,11471,8170,7302,10396,37714.11,127845
39159.74,19031,10128.92,13969.3,10398.16,13746,56938,163371
13643.18,6308,3467.66,2987,5202,6881.42,15096,53585
30881,15486,6599,8584.55,10311.25,17171.03,30192,119225
28875.67,8419.47,6419.18,6042.87,5863,6590.81,11833,74044
55938.65,31211,12953.71,14328.39,17836.43,10700.69,40660,183629
46635.74,36047,16957,16160,15373,25926.57,33052.43,190152
42886.43,12336,10652.74,7413,6840,7361.08,32067,119556
4817.61,2215,683.16,1203,1138.52,836,1800,12693
55839.88,26903.08,18608,20796.83,21028.45,18314,74585,236075
27616,13154.98,8705.76,8522,7011,15032.06,25218,105259
69303.37,25890,17674,20394.72,11004,17232,48737,210235
9186.72,4373.62,2314,2797,1849.34,5057.51,10361,35939
47968.28,24947.56,17446.46,9976.88,13913.61,16712,59031.77,189997
53139.42,34845,15255,9274.8,17878.47,13564,40056.11,184013
61956,19796.41,15348.64,12701.83,14894,19758,18451.7,162906
6352.11,3876.8,2270.89,2039.58,2496.45,4200.38,6811,28047
10252.73,5405,3461,3207,2040.84,3847,7892.99,36105
19891.28,11455.11,4617.67,5296.03,7848.24,12421,24236.61,85766
44525.36,15829.77,14564,13570.46,15261,20093.04,32935.43,156779
50067.73,25534.48,14278.54,9228.23,12336.07,11322.83,40280.1,163048
11828.21,6475,2850,4413,3493,4231.06,20972,54262
41961,16433.61,8165.04,8758.23,12909.1,14152,32738,135117
9035.3,6089.31,2105.12,3337,2271,2828,8109.91,33776
52905.89,18922,8945.21,14174.69,13137,9961.45,53105.11,171152
37411.47,24377.37,10427,11332,13735,17546,23546.46,138376
59447.72,26590.91,11738.56,11430.56,16666,21282,60758,207914
64882.4,30602.37,10740,13036,11066,29634.37,42483.97,202445
40750,16905,7528.32,10823,14363.89,12180.01,45298,147848
22889.45,20526,6082,8193,7253.55,6438,31405,102787
47571,20590.1,11266.29,12453.43,9642,18016,18409.19,137948
23408,12113,3741,6019.16,6474,7976,5285,65016
37745.96,26440.91,8142,14485,9980,9450.9,44301.64,150546
89548,47510.22,18032.12,18505,16274.08,34424.68,22608,246902
45728,21746,18073.34,18861,18156,27853.36,48706.67,199125
9460.17,3636.98,1727,2923.81,3158.82,2891.41,8160.37,31959
43659,27261.47,11672,12421.98,10003,18156.74,23428,146602
51550,42003.39,19743.66,20850,15424,23405.34,62951.05,235928
32994.22,22870.4,10663.1,11828,12752,12576.56,25416.6,129101
4395,2272.48,793,1359,1062,874,2991.99,13748
92642.73,36495,20665,22952,23562,31807.06,10451.77,238576
74165.27,42811.78,15761.09,18891.22,16091.66,31469.26,39979.73,239170
9140,4409.17,1709.47,2337.79,1177.47,2623,2147.84,23545
32973.16,16250.9,8690,10498.28,7648,18834,42764.67,137659
43194,28264,11385,11570.67,12998.6,16488,83370,207271
65761,24117,14193.64,13396,11598,17054.8,29717.84,175838
19967,14020,5525.93,8301.84,5537,7468.72,22709,83530
23800.32,18495,8377.41,6948,9702.64,5311.51,30922.73,103557
16908.52,10373.95,6227.68,6773,6523.56,4953.97,19326,71087
69467.82,34242.8,12018.11,14776.14,22107,15746,68553,236911
20236.08,14485,6082.5,5416,6407.05,4039,22175,78840
48389,16321,7670,9469.63,6469.65,6754.07,33378,128451
69497,35618.71,18595.33,14903,14182,16230,26430,195456
20504,7113.64,3230.54,5157,5273.23,3336.81,16389.16,61005
66276.21,26527,15509,14821,9590.86,27932.16,26991.91,187648
10374,7982.99,2980,3918,2745,4106.1,17247,49353
79671.03,35136.92,15128,16557.9,17664,22587.54,16330,203075
47906,26493,21948,21196.29,18529,21523,66688,224283
12685.6,10853.9,4930,4498,3537,5703,20525.48,62733
18736,12471.93,4514.61,4952.2,4612,4286.75,25745,75318
65125,27567.67,17443,13031.67,16605.53,18842.65,71931,230546
40939.47,17977.78,10862,9099,9296.02,17690.19,58872,164736
19687,11534,4328.17,6127.82,5078.22,8697.04,21720.09,77172
81186,31390.23,16276,18068,18018,12862,48888.88,226688
28095.56,16572.21,7164,9622,6758,8194,26859,103264
13343.1,3743.2,3188.53,2219.59,2081,4182.35,7978.27,36736
66644,31918,22490,12238.01,17789.77,27774.44,56428,235281
56212.93,28119,16216,12870.44,14432.67,35767.67,80494.33,244113
40201,17179,6184.81,9358,11803.76,16120,22012,122859
25061,21845.6,11627,7743,11072,7116,37716.75,122181
54267.35,15576.49,13151.78,9425.02,7477.88,16596.22,25431.26,141926
21703,16841,6183,9726,9364.12,7901,28366,100084
58880.68,23489,16709,17605,10940.84,10569,41501.8,179695
5138.29,3118,1723,1680.49,1681.69,1569.15,2481,17392
17160,8710,3517,4432.73,6116,4815,20930,65680
71792.29,22938.75,9916.78,11789.76,14342.98,12611.84,44396.6,187789
67263,33113,21324,17455,16747.01,20779.11,51482.99,228164
23501.6,10107.45,5314,3991.05,5616,4622.87,7706,60859
41049,17382.99,12360,11889.31,11753.72,18669.01,22553,135657
83896,30265.85,21445,23509.56,13582.61,17962,54506,245167
60761.72,31425,14839.86,13990,8634.54,17323,20407,167381
63926,42572.81,14478.04,17536,21238.86,18874,49903,228527
46573.74,31490.66,12134,14625,10869,14826,74287,204806
21554,13751,8021.69,5289.21,6735.16,10817,14298.38,80467
72249.31,21672.26,11351.62,14302.67,16834,12380,44944.17,193734
39127,21492.8,8713,8158,10190.97,15760.68,5064,108506
39631,16899.31,9959,6695.41,8391.54,15485,22689,119751
43818,23885,7191.81,10995.4,9692,17134,16191,128906
44599,23542,13421,14038,13043,21897,23220,153760
10970,4389,2520,3477,2929,3761.79,7295.09,35342
52488.99,24564,13521,12593,10687.91,16261.02,48113.01,178229
64581.4,25220,16129.5,12866.21,19315,18747,52076,208935
28849.49,16792,7457.48,6286,10913.26,14292.74,31717,116308
61158,30498.5,10184.21,12691,14478.89,13841,50304,193155
27635,22255,9017,7541,8305,9428,31900.09,116081
63886.01,21530,18041.93,14952,10547.3,11633,66215.49,206805
22044,15811.88,7353,5085,6836.49,6003,35911,99045
14466.87,7512.27,3724.98,3376.87,3193.15,2475,9949,44698
46559,17920,10211.83,11140.54,8515.28,9719,16012,120078
24030.04,10799.87,7048,7176.98,5469,12247,23852,90623
7312,3726,2102,2479.85,2855.47,4367,9828.83,32671
36334.08,25474.12,15142.94,9156,14896,21806,43448,166256
23242.94,11593.64,8896.88,6119.22,6866.69,10206,36458,103384
46069,32503.64,12690.22,13800,16999.02,22896.53,38221,183179
35333,17917.52,6330.08,8909,5007,5287.85,17416.85,96202
17975.69,9097.67,5497,5395.98,4492,8297.79,10907,61663
7210.1,3663.27,1777.56,2210,1989,3711.66,5147,25708
27519,16480,9604,6274.14,7155,15217,19657,101906
15431.76,7186.08,3784,3498.22,3276.57,5497.45,21137.25,59811
43605,15861,12602.5,13713.73,12543,14860.63,30697.09,143883
23136.88,11938.5,3844,5092.44,3948,8077.43,10211.93,66250
39839,14152.43,8412.85,7408.19,10391,17698.35,24645,122547
57204.81,42328.2,19595.34,19275,14045.83,10845,49860,213154
30091.82,26540.56,7967,9701.33,9989,17628,32331,134249
9241,5530,2932.07,3130.82,2779.8,3148.39,17992,44754
77693,43822.53,20613.11,18265.15,19579.62,18329,38511.42,236814
63873,33921,20606.62,13850.17,24201,33827.11,57435.55,247714
48346,19158.16,14745,8623,13703.6,15369.5,32537,152483
49454,20785,13958,9322.51,10622.08,18097.62,21743,143983
78087.15,25433,12068,11065,18987,16904.49,45798,208342
77136,44365.81,13505.91,11349.03,12088.27,19692.23,46698.21,224835
40489,25541.93,11392.77,8420.91,14686.29,17010.49,32210,149752
27654,12244,7411.07,5276,7637,10139,24535.42,94896
87522.66,23782.65,21719,11816,17403,31278,31430,224951
29601,11318.43,5884,7032.02,5519,4584.23,17356.44,81295
61886,41210,18664,22252.44,19290,24581,41802,229686
26856.3,20667.6,10824.52,6845,10419.24,6607.9,28468.91,110689
5469.53,2302,1760.66,1196.28,1954.72,2780.72,5647,21111
17069.56,6355.95,4050.88,2821,4158,3496.28,9553,47504
47272.62,26753.44,8887.82,10359,13758,16573.29,19270,142874
5629.33,2748.59,1534.21,1667.94,1200.94,2521.75,2852,18155
48914,37519,11251,20920,18372,10882,66869.97,214728
9904,9135.78,3409.69,3694,2488,4899.35,15853.23,49384
47500.37,20555,6857.42,6550,9091.27,8825,23181,122561
11535.44,8640.4,3262,5342.45,5357.79,5257.9,17858.49,57254
11150,3232,2624.43,1887.73,1967,3624.71,7432.71,31918
35747.38,17431,9521,9164.96,8886.83,5303.66,9926,95981
40441,25439.21,15318.3,17375.87,11846.36,21124,70239.96,201785
13320.94,4243.09,2914,3131.73,2616,3850,10230.47,40306
32766,23650.58,13917,9980.06,14248.04,11857.35,51299,157718
22726,6936.71,3136,4504.91,4230.66,5822,9487,56843
34465.9,21238,7989,9461.89,12439,8298,37084,130975
39617,12479,7657.99,7803.2,9535.97,11756.95,17750.83,106601
50616,38966,21782,17550.42,17839.76,17503.59,67549,231807
42892.71,21838,8599.66,10484,11439,9109,13150,117512
55090.74,26757.98,10288.36,8322,10573,18373,28039.02,157443
81669.38,37939.76,16395,17177.93,12420.97,31405,21435.67,218443
41804,18391,9753,9911,9274.69,13149.75,19188,121472
39976,16099.25,10916,7940,8607.68,21444.09,38138,143121
59253.42,29131,16346,14587.1,11085,20616.58,21668.71,172688
36444,15038.4,10104,6088.89,9441.55,14889.08,21721.07,113727
48025.03,14869.05,10992.33,10904,7483,13779.09,16840.86,122893
10849.21,3877,2931,2434.24,2089.11,4122,4629,30932
26976,23425.44,9315,8044.51,12005,8903,39126.68,127796
12123,5855,2134.31,3623.43,2661.68,4283,9175,39855
62573.64,22008.01,12523.47,11795.31,11387.06,17534.98,64683.53,202506
64579.57,24382,15228.51,14341.01,12649,10834.53,71751.6,213766
68374,33450.76,13331.16,13708,11209,10645.84,33370,184088
5129.79,3264,1106,873.22,1011.43,1478.17,4538,17400
49492,25313.37,11945.47,7505,6688.23,13803.51,13110,127858
45443.41,19914,16259,14974.3,18266,15511.12,53346.7,183714
5495.64,3519.71,1784.37,1904.64,2149,3536,6761,25151
47877.54,25136,14274,10232.02,15506,28558.78,50895.76,192479
25077,14256.15,5157,5331.09,7251,10074.07,9544,76690
3703,2101.89,975,850,1175.85,2003.73,3689,14499
6340,2659.54,1169,1242.62,977,2037.76,1867.91,16295
35383.98,18850,6997.82,10328,10455.31,16216,32654,130885
41022.41,19615,7693,8783,12715.56,19110.53,27131.85,136071
25292.45,10101.93,5133,6679.25,5651.22,9656.4,6526.21,69040
6514.26,4111,2144.63,2144,1248,1956.66,4065.06,22183
66860.84,33469.18,10984,12604.26,16805.77,8601.49,21045,170371
61455,27718.53,14206.46,12587,8017.2,10880.87,19081,153946
46949.97,17787,12509,10423,11004.01,6714.92,20947,126336
9732.15,6493.06,2215,2307.82,3571,5079,13312.66,42711
6031.86,1838,1218,1070,1526.65,1202,2652.7,15539
52268,39826,16704.72,24320,23695.96,30222.86,61975,249013
59747,36162,11792.1,15629.46,10535.69,22224,38333,194423
48825.79,35106.35,18882.79,15387,16888,26608,40641.61,202339
54839,20872.69,9622.09,15307.35,18572,26574,43639.36,189426
38584,14212,8770.19,9873.31,7599,12970.44,44053.84,136063
43929.43,22757,12904,9630,12966,12045,29398,143629
15519,7388.26,3765.89,4783.6,4288,2932,9683.38,48360
48277.16,28968.08,18654,14821.65,14257,15269.06,82842.98,223090
36852,24682,13935.4,13733,11343.03,13791.51,28934.3,143272
53127,31837.87,12934.29,11773.24,11775,22702.11,65420.09,209569
39040,32507,14367,11302,10437.3,16612,63781,188047
7530,5895.6,1874,2059,2540.79,3570,7888,31357
28871.61,22681,7070.98,6633,9062,19285,35517.29,129121
30550,17463,7287.64,6534.35,8414.37,4514,12742,87505
3352.69,1879,823,881.13,746,1783,3403.95,12869
44895.71,28096.99,12547.59,10269.04,13751,11926.62,80720,202207
13720,11545,3286.8,5876,4841,3013.02,17826.86,60108
43756.17,20567.56,11549,10349,7603.93,17509,10960.99,122296
29303.86,18849.83,7185,5454.94,6128.02,15167,22090.28,104179
39548.87,11623.12,6789,7117,6972.38,11690.02,16531.71,100272
9795.68,5289.82,3772.77,4585,3119,4012,17893,48467
9818,5064.81,1984,2436,3171,1836,9017.42,33328
37229,19893,9001,8224.19,8147.4,13685.24,5232.16,101412
50252,34994,12365,14847.26,19880,33375,62189.43,227903
29526,24706.45,7410.34,11831,8440,15458,47688.39,145059
23807.64,9067,4622,4113.19,5378.65,5609.98,16273.1,68871
54555.86,21503.24,13752.81,15296.71,10114.65,24176.05,24072,163471
52597,23040,7647.62,11570,11316.43,18071,14149.93,138391
37836,21515.58,16629.8,13548,13555,27251,56951,187286
60481,43326.23,19634,18087,12753,34067,52246,240594
37559,10159,5333,5658,8147.98,11045,18513.06,96416
26469,13864.96,6557,4577.48,5791,8520,14491,80271
21195,8976.44,4116.19,2766.97,3821.6,4321.06,8866,54064
74959.84,36642,18976.55,13403,19927.89,13457,33796.43,211163
27739,20374.78,7353,8755,6316,13129,33783.07,117450
60271.62,21794,10404.14,18184.16,14754.7,16933.74,39547,181890
39651,32118,11479.4,15723,18491,22225.68,46909.8,186597
11613,5150,1819,2161,2679,3123,3284,29830
43106,22282.26,15615.82,8815.71,10053,15729.67,42898.97,158501
42723,27985,10441,8472.66,11277,21646.66,25419,147965
32336.98,17047,12153,7625,11842.59,6704,38673,126381
71921,32521.75,21653.75,18520,21078.83,27175.59,28110.03,220981
13994,11038,5355,4299.07,3043,6963,12641,57333
48322.79,17928.84,12598.23,12646.41,9518,14215.45,29278.34,144508
81037,34321.13,17314,15111.57,18052,14859,34667.86,215362
20164,14112,8513,7870,4569,7554,23431.95,86213
39378,25264,9457.23,9184.61,9966,9952.83,43764,146967
61169.22,23258.83,12468,15634,9747,16404.79,22127.06,160810
13083.09,4307.24,3408.05,3118,3388,4442,9000,40746
23426,7635,3180,3995,5175.58,5570.23,10395,59377
47591.54,26660.73,15894.02,11622,15176.85,22689,49842.26,189476
15345.22,9209.81,4511,4576,5077.36,6540,18785.59,64045
38752.62,14088,5787,10425.43,7523,13947,17366,107888
55096.28,33902,9436,11403.61,16962.71,22650,31411.23,180862
42259,21177.57,8311,7537.96,7539.9,11537.5,19091.49,117455
35999.4,20628.04,13576.41,13189.36,9292.88,10920.32,43065.58,146672
54405,40201,14658.27,17310,18756,32692.28,57710,235732
38336,15210,5180.13,5216,7308.35,6758.31,25170,103179
65096,29808,16851,15795.85,17113,16981,20190.08,181836
84646,25347,12694.96,20647,15796,12143,44341,215615
17948,7044,3585.87,4210.14,5032.88,3064,14829.61,55714
56448,30722,15822,12610.75,13853.78,25299.23,43152.28,197907
38138.65,14229,7085,11284.41,6709,7320,28180,112946
46840,21821,9359,7055.29,6577,6633,21331,119616
41972.57,20879,11204.71,10266,10135.18,8514,13011.67,115983
56848.66,41570,14643,14933,11880,25143,49797.68,214816
72602.46,25878,14891,13841.78,18325,18411,33613,197563
43701.21,18379,8222.76,12559.48,12168.75,9843.59,29248.43,134123
55333.34,21336,10606.31,10257.53,11801.21,10867,39460,159661
10749,10358.04,2958,4926,3965.45,6200.71,14326.51,53484
33505,14222,6888.57,7813.71,8643,10497.28,11421,92989
9887,4890,4452.54,3809,3188,5799.89,14186,46212
20102,8293,4432,3699.21,3430.39,6540.66,7026.71,53525
59092.98,26033.2,16541.65,12291,14995.86,19537,39782,188274
